"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
-3.94189261698843,2.76265379829084,-25.2856951838282,6.69918253896382e-36,1.26326485137241e-31,68.8309434114432,"DEFB130"
-3.53074959564033,2.78318543191007,-23.4155330827955,6.76624786778891e-34,6.37955680214477e-30,64.7393132516463,"CCDC177"
-2.22992552736746,3.05606244230977,-16.0766849192405,1.22431549454917e-24,7.69563909357124e-21,45.0916974031566,"UGT2A1"
-3.53139576211188,4.14837214234989,-15.4928700213664,8.64158493013649e-24,3.92887267867295e-20,43.2425120553925,"LCN6"
-3.42077033791353,2.92915122148975,-15.4376881298165,1.04175443566658e-23,3.92887267867295e-20,43.0653202437661,"KLK9"
-3.41916354176802,1.86062692405155,-14.3062372611652,5.23526176004775e-22,1.64535551682034e-18,39.3393723146299,"RNASE11"
-2.75237270476525,3.49096480499825,-14.0807356429664,1.16532602470451e-21,3.13922183540757e-18,38.5754935299803,"MDGA2"
-2.22993208555996,1.80697529721106,-13.6685031653538,5.1171278222973e-21,1.20617099181325e-17,37.1607211440938,"MFRP"
-2.94150166713993,5.65449980693254,-12.9577985014131,6.90246337474532e-20,1.44621946508414e-16,34.6660817905942,"SOX7"
-1.94022828179155,2.65433419912389,-12.6619340138473,2.07786309456221e-19,3.91822643741596e-16,33.6070338973032,"TMEM239"
-3.53842215963189,5.31000154724198,-11.9866653574474,2.67748341474261e-18,4.58993679561831e-15,31.1455888245917,"LIMS3"
2.85000654171465,2.86539048040156,11.7952937352933,5.58124407952465e-18,8.7704599672997e-15,30.4370430078522,"MYBL2"
-2.88267265123865,3.9825022894059,-11.6939644145933,8.24916459865985e-18,1.19657305259176e-14,30.059958161461,"OC90"
-2.80078190170303,4.85158157267376,-11.2398340469216,4.82242267438259e-17,6.4954588836309e-14,28.3540346213498,"CDRT1"
-2.2939320898712,3.03588052045237,-11.1262052000262,7.52905917323834e-17,9.24200404002476e-14,27.9232149927691,"KRT222"
-2.91083589848239,5.35929891014653,-11.1158441603619,7.84175980486802e-17,9.24200404002476e-14,27.8838541453427,"MUC3A"
-2.92262437870739,4.98671753577554,-10.9347474379957,1.60006861314286e-16,1.77485257870794e-13,27.1938225964104,"GOLGA7B"
3.5583429288885,5.0465755731967,10.8901739604302,1.90813498296451e-16,1.98567883456301e-13,27.0233944392498,"MMP11"
-2.19195092880598,3.76430489888202,-10.8781868854034,2.00073701313555e-16,1.98567883456301e-13,26.9775221716187,"ABCA8"
2.12810774677109,2.75256560754661,10.8635570541322,2.11990983411792e-16,1.99875698709808e-13,26.9215140953294,"E2F1"
3.14625738541557,4.20304952514964,10.5911464506021,6.25148102694528e-16,5.3583717147776e-13,25.8741938115102,"HIST2H3C"
3.14625738541557,4.20304952514964,10.5911464506021,6.25148102694528e-16,5.3583717147776e-13,25.8741938115102,"HIST2H3A"
-1.87696589654713,4.54975490380189,-10.4451352685089,1.11965242356966e-15,9.17968945706657e-13,25.3094577102221,"SOGA3"
-2.45620373756926,5.19287883408949,-10.3828956345338,1.43631945486955e-15,1.1285281650198e-12,25.0680365346029,"FAM47E-STBD1"
-2.41887900973251,3.14284065205467,-10.3019228255159,1.98710457766173e-15,1.49883324083869e-12,24.7533443000259,"NTRK2"
-1.39449658320824,6.14657304500944,-10.2677405721599,2.27935713396208e-15,1.65314759519704e-12,24.6202954309794,"TMEM236"
-2.32289153292023,3.99498870967956,-10.0528154235499,5.41486729525576e-15,3.78178342913473e-12,23.781046981319,"SIGLEC5"
-2.90831954369455,5.32247075905024,-9.98884795378891,7.01100609345665e-15,4.72166221086828e-12,23.5303940225819,"ZNF223"
-1.77384477330506,5.32277309604004,-9.87231923992275,1.12346355586821e-14,7.3052249217265e-12,23.0727963532478,"ZNF709"
2.46187432125237,3.88384265387258,9.85527526031708,1.20379647671814e-14,7.56666338715797e-12,23.0057616658902,"TK1"
-2.32537604155002,7.28439891512971,-9.83631460281764,1.29996780566176e-14,7.90757835850443e-12,22.9311577914762,"LTB4R2"
-1.99812880734374,1.67155772311412,-9.73956866847836,1.92509242315134e-14,1.13442086948015e-11,22.5499973090318,"CACNA1G"
2.43328543740518,2.91233031307958,9.73190976917226,1.98593444919305e-14,1.13481108813434e-11,22.5197877031779,"PITX1"
-2.276331474022,2.26454022075514,-9.72074519699569,2.07810410188391e-14,1.15255320733014e-11,22.4757413240371,"FGF10"
-1.69662185824847,2.67734494786306,-9.59413775618617,3.47851412177107e-14,1.87412402269249e-11,21.9755120838308,"ANKRD29"
-2.39906125839068,2.54351198409424,-9.54696874463408,4.21582674585842e-14,2.20827347074034e-11,21.7888076480283,"NOVA1"
-1.52407276181288,1.95999584130725,-9.50995282252359,4.90288197202142e-14,2.49874717152454e-11,21.6421663373636,"ARHGAP6"
-1.72426041854649,2.61798734094983,-9.47629806505179,5.62476329965604e-14,2.79121477741089e-11,21.50874691884,"RAI2"
-2.7520232440422,5.6461265375652,-9.46746330262995,5.83135827408801e-14,2.81953648652507e-11,21.473708187556,"ITGB3"
1.78966335778467,4.59268710894617,9.45095370044151,6.23807340071798e-14,2.94078375293347e-11,21.4082148712453,"H2AFX"
-1.9417695274891,2.97814201964707,-9.20542974704591,1.70397522244654e-13,7.70330233423707e-11,20.4318580143839,"ABCA10"
-1.5862696615714,3.10448309194719,-9.20375071481076,1.71574851799309e-13,7.70330233423707e-11,20.4251665720408,"ABCA9"
2.25403308197899,5.68728269308937,9.16206861859165,2.03570024748469e-13,8.91002076793117e-11,20.258991150561,"TMEM132A"
-2.14586569491462,5.59411951732235,-9.15693736971466,2.07902059600664e-13,8.91002076793117e-11,20.2385263493688,"ZNF763"
-1.46729040470905,9.04371601363668,-9.12453183302831,2.37480647960467e-13,9.95149461909006e-11,20.1092451317344,"ZNF788"
-2.41137886152733,4.26597659510214,-9.11386879199643,2.48109401709871e-13,1.01708673653109e-10,20.0666905003711,"ANK2"
2.16485250746002,3.46811285108201,9.09708152722528,2.65818511081381e-13,1.0644058927023e-10,19.999680487275,"NUSAP1"
2.97257443883876,4.60280037522603,9.09243398705701,2.70941734367663e-13,1.0644058927023e-10,19.9811257088292,"HIST1H1B"
2.73096425929024,4.43718612722901,9.06473233919279,3.03601413243864e-13,1.16836976521215e-10,19.8705023315165,"PYCR1"
-1.61657956851729,2.3112797693717,-9.02499148376256,3.57475538702041e-13,1.31452809912409e-10,19.7117203621998,"CLSTN2"
-1.60407081674148,2.32303967017066,-9.02447294919546,3.58238480751088e-13,1.31452809912409e-10,19.7096479679885,"FAT4"
-2.29353334917433,4.59302382932485,-9.02160096761674,3.62493828045037e-13,1.31452809912409e-10,19.6981694136593,"TLR9"
-1.47261546442887,1.75468959706817,-8.95239698945077,4.81875011494719e-13,1.71447492297281e-10,19.4214346441882,"SPTBN4"
-2.08138068891183,6.56685509158401,-8.91760609189713,5.56071243825609e-13,1.94182137867028e-10,19.2822098156331,"ANKRD18A"
2.04256445284714,2.81562798723209,8.87948012044824,6.50608007890963e-13,2.20597249924118e-10,19.1295634499842,"CBX2"
2.04839176389186,3.02934008600079,8.87487869085216,6.63057622488423e-13,2.20597249924118e-10,19.1111353238338,"TROAP"
-2.57726558674217,4.18816490797389,-8.8735086428885,6.66810375228017e-13,2.20597249924118e-10,19.1056482461537,"SYNPO2"
2.73650920425097,2.40955430364905,8.81703042339355,8.41547607524399e-13,2.73604538535993e-10,18.8793676452647,"CXCL10"
-2.08179960139356,1.77484577475423,-8.77409341486421,1.0045334875404e-12,3.21059118212699e-10,18.707233924906,"LPHN3"
3.4571071814482,5.53843833365985,8.68735414295029,1.43678867498589e-12,4.5155873407015e-10,18.3592351047866,"HIST1H3B"
2.8182621494059,3.15532065997161,8.65754275891028,1.62496289059756e-12,5.02326643081939e-10,18.2395550367856,"IQGAP3"
-2.66628659382005,6.42799319722365,-8.63781710321349,1.76286515706795e-12,5.36166907529521e-10,18.1603445066756,"CRYBG3"
-1.54121621256377,8.16605736071426,-8.59591615445184,2.09596899471444e-12,6.27360116402067e-10,17.9920348252501,"MRPS17"
-2.18014947383345,2.7076498486907,-8.58100182661516,2.22918603905376e-12,6.56808767788075e-10,17.9321098145767,"GFRA1"
3.23590116207998,2.83959147617075,8.51891299015979,2.881319111041e-12,8.35892838106157e-10,17.6825522651213,"COL11A1"
-1.2678957922641,1.14611492249546,-8.51222524408056,2.96209330002457e-12,8.46305959978232e-10,17.6556636893325,"KL"
-1.23049398057695,1.23034837156107,-8.46385886642786,3.61789012224129e-12,1.0107688101174e-09,17.4611590426516,"ARHGAP20"
-1.67448367212306,1.32249238005045,-8.45862428587227,3.69706873118302e-12,1.0107688101174e-09,17.4401037692365,"NLGN1"
-1.55722629521797,1.4533933163867,-8.45852919748642,3.69852298340672e-12,1.0107688101174e-09,17.4397212833694,"MAB21L1"
3.63075720803475,5.23777588862616,8.43592285707414,4.06103730592751e-12,1.09398543539821e-09,17.3487811607648,"HIST1H2AI"
1.73064060897279,4.07133139268392,8.29236837021758,7.35606312008564e-12,1.95370820078106e-09,16.7709682512463,"LMNB1"
1.70470639365497,2.56045576663492,8.27282996693526,7.97585823024837e-12,2.0888994256638e-09,16.6922874611388,"SBK1"
-1.33282562904181,2.86260356883181,-8.26258258788443,8.32155598358308e-12,2.14958330386885e-09,16.651018342958,"DNMBP"
2.58357717771317,3.40538589579681,8.24486821483347,8.95490619753183e-12,2.28192792117375e-09,16.5796726950756,"HIST1H2AB"
3.18235925225295,2.08707510886901,8.22936231104539,9.54878224267559e-12,2.40081849000178e-09,16.5172169998861,"CST1"
2.42164521780918,3.58410672033845,8.22570265034044,9.69460360479881e-12,2.40540973915383e-09,16.5024757534421,"PAQR4"
1.97244484039275,3.36012053007835,8.19781488363985,1.08815470830327e-11,2.66484848499672e-09,16.390135390457,"PLK1"
2.94618827942957,3.80397080776781,8.17072659059542,1.21735785104164e-11,2.93694987852559e-09,16.2810038720404,"HIST1H3J"
-1.62598880302951,2.86911858601469,-8.16815131154564,1.23041332345294e-11,2.93694987852559e-09,16.2706282046507,"LGI4"
-1.5422639001379,2.32213874831218,-8.12888550236818,1.44774609028762e-11,3.41251850306921e-09,16.1124175278038,"SCN4B"
-2.65982341398257,4.02046744471818,-8.11785782600499,1.51542084627045e-11,3.52793714791627e-09,16.0679812463067,"ADH1B"
1.50280568872716,5.96896261591572,8.10280268557391,1.61295108554479e-11,3.70919739269732e-09,16.0073141210402,"IDH2"
-1.58646372119585,4.03265353153121,-8.09098417729182,1.69389437324203e-11,3.84840556581024e-09,15.959687971609,"SEMA6A"
-1.86100780092947,2.27477586141404,-8.08408456184928,1.74301497172925e-11,3.91286110974982e-09,15.9318833582066,"FREM1"
-1.71000285587112,1.36302054429572,-8.07627030918525,1.8003704652776e-11,3.99406892514585e-09,15.9003923775764,"TMEM132C"
-2.02061103148666,5.36452984856168,-8.07022425979468,1.8460401291483e-11,4.04776496690110e-09,15.8760268139086,"CELF6"
